PIN,SalePrice,SqFtTotLiving,NbrLivingUnits,YrBuilt,CurrentZoning,beat,total_noise_dispatches,estimated_dispatch_waste_usd,shadow_tax_penalty_usd,FEMA_Climate_Risk,Heavy_Freight_Zone
4364200015,695000,1170,1,1941,NR2,F2,153,22950,-2363.8860533039424,69.22,0
7818700172,740500,1480,1,2008,LR2(M),J1,141,21150,-2178.483225593829,69.22,1
3935900239,825000,1300,1,2012,NR2,L3,167,25050,-2580.189352299074,69.22,0
1223049161,450000,670,1,1944,R24,99,1,150,-15.450235642509426,69.22,0
3834000601,600000,2370,2,1975,LR2(M),L3,167,25050,-2580.189352299074,69.22,1
7883604865,724750,400,1,1920,RSL(M),F3,259,38850,-4001.6110314099415,69.22,1
3959401115,700000,1460,1,1954,NR3,R1,217,32550,-3352.7011344245457,69.22,1
5583200754,787500,1030,1,1949,NR3,R3,178,26700,-2750.1419443666778,69.22,0
3948900035,807000,1920,1,1930,NR3,W3,109,16350,-1684.0756850335274,69.22,0
3277801452,799990,1600,1,2016,LR1(M),W3,109,16350,-1684.0756850335274,69.22,0
7942602190,816000,1150,2,1964,RSL(M),G2,229,34350,-3538.1039621346586,69.22,0
3086003380,730000,1460,1,1913,NC255(M),R1,217,32550,-3352.7011344245457,69.22,0
6145601745,715000,890,1,1928,LR2(M1),N3,225,33750,-3476.303019564621,69.22,1
2926049631,645000,1410,1,2022,LR2(M),N3,225,33750,-3476.303019564621,69.22,1
6381501375,769000,1970,1,1948,NR2,L1,179,26850,-2765.592180009188,69.22,0
3438502940,69670,2060,1,1984,NR2,F1,153,22950,-2363.8860533039424,69.22,0
2568800040,810000,2000,1,1951,NR2,L3,167,25050,-2580.189352299074,69.22,0
7715600085,740000,2040,1,1944,NR2,L1,179,26850,-2765.592180009188,69.22,0
7129302250,719950,1180,1,1950,NR3,S3,189,28350,-2920.094536434281,69.22,0
4154302695,670000,1300,1,1926,NR3,R3,178,26700,-2750.1419443666778,69.22,0
7812800075,520000,830,1,1944,R6,99,1,150,-15.450235642509426,69.22,0
3424049111,595000,1920,1,1959,NR3,S2,171,25650,-2641.990294869112,69.22,1
3298700462,475000,1360,1,1943,RSL(M),F3,259,38850,-4001.6110314099415,69.22,0
3438502850,480000,1330,1,1947,NR2,F1,153,22950,-2363.8860533039424,69.22,0
9904000063,760000,810,1,1937,NR2,L1,179,26850,-2765.592180009188,69.22,0
9550202280,776000,790,1,1907,NR3,B3,118,17700,-1823.1278058161124,69.22,0
7130300930,810000,2070,1,1966,NR3,S3,189,28350,-2920.094536434281,69.22,0
1895000060,621915,1480,1,1924,NR3,S3,189,28350,-2920.094536434281,69.22,0
2734100205,580000,1270,1,2017,LR2(M),O3,51,7650,-787.9620177679808,69.22,1
4083300753,809950,1070,1,2022,LR2(M1),B3,118,17700,-1823.1278058161124,69.22,0
4083300750,819950,1070,1,2022,LR2(M1),B3,118,17700,-1823.1278058161124,69.22,0
7899800105,774950,1880,1,1952,NR3,F2,153,22950,-2363.8860533039424,69.22,0
8636820110,752543,1760,1,2021,LR3(M),N1,157,23550,-2425.68699587398,69.22,0
9238901495,665000,850,1,1951,NR3,W3,109,16350,-1684.0756850335274,69.22,0
3486200010,730000,1150,1,2022,LR3(M),C1,152,22800,-2348.435817661433,69.22,0
7625702442,720000,1350,1,2006,LR3RC(M),W2,329,49350,-5083.127526385601,69.22,0
8902500306,770000,1100,1,1953,NR2,L3,167,25050,-2580.189352299074,69.22,1
9842300595,650000,790,1,1950,NR3,W3,109,16350,-1684.0756850335274,69.22,0
3486200090,699950,1010,1,2022,LR3(M),C1,152,22800,-2348.435817661433,69.22,1
7338401630,610000,1810,1,1941,NR3,S1,221,33150,-3414.502076994583,69.22,1
3320000222,675000,1350,1,2007,LR3(M),G2,229,34350,-3538.1039621346586,69.22,0
3486200070,759950,1010,1,2022,LR3(M),C1,152,22800,-2348.435817661433,69.22,1
8127700521,850000,800,1,1926,NR3,Q1,107,16050,-1653.175213748509,69.22,0
6056110980,850000,1840,1,2013,LR3(M),R2,298,44700,-4604.170221467809,69.22,0
3319500574,669900,930,1,2022,LR3(M),G2,229,34350,-3538.1039621346586,69.22,0
2112700765,364295,2370,1,1921,NR3,F1,153,22950,-2363.8860533039424,69.22,0
1934800162,630000,960,1,2005,LR2(M),G2,229,34350,-3538.1039621346586,69.22,0
6310400080,757500,1270,1,1950,NR2,N2,246,36900,-3800.757968057319,69.22,0
5113400565,790000,1160,1,1928,NR3,Q2,110,16500,-1699.525920676037,69.22,1
3692900115,680000,950,1,1928,NR3,U3,190,28500,-2935.544772076791,69.22,0
3566800275,751750,860,1,1947,NR2,J1,141,21150,-2178.483225593829,69.22,0
8077100023,680000,1120,1,2017,LR2(M),U3,190,28500,-2935.544772076791,69.22,0
7234600908,685000,860,1,2022,LR3(M),C3,127,19050,-1962.1799265986967,69.22,0
2652500006,815000,1190,1,2005,LR1(M),Q2,110,16500,-1699.525920676037,69.22,0
7972602745,752500,1300,1,1958,NR3,F3,259,38850,-4001.6110314099415,69.22,0
2926049634,690000,1600,1,2022,LR2(M),N3,225,33750,-3476.303019564621,69.22,1
3319501840,850000,1820,2,1907,RSL(M),G3,123,18450,-1900.3789840286595,69.22,0
2926049635,695000,1600,1,2022,LR2(M),N3,225,33750,-3476.303019564621,69.22,1
9268200552,679000,810,1,1916,NR3,J1,141,21150,-2178.483225593829,69.22,0
2433200007,680000,1660,1,1904,RSL(M),F3,259,38850,-4001.6110314099415,69.22,0
6659000005,625000,1920,2,1955,LR2(M1),S2,171,25650,-2641.990294869112,69.22,0
3438501331,635000,1600,1,2009,LR1(M),F1,153,22950,-2363.8860533039424,69.22,0
1604601573,649950,1040,1,2009,LR2(M),R2,298,44700,-4604.170221467809,69.22,0
3352402290,690000,3180,1,1968,NR2,S3,189,28350,-2920.094536434281,69.22,0
2767800145,789000,770,1,1910,NR3,B2,126,18900,-1946.729690956188,69.22,0
5347200045,685000,1880,1,1929,LR2RC(M),F2,153,22950,-2363.8860533039424,69.22,0
5100402518,789950,1900,1,1940,NR3,L2,118,17700,-1823.1278058161124,69.22,1
3442000152,625000,1330,1,2006,LR2(M),N1,157,23550,-2425.68699587398,69.22,0
7857003316,635000,1420,1,1954,NR3,S1,221,33150,-3414.502076994583,69.22,0
9164100165,760000,970,1,1909,NR3,J2,90,13500,-1390.5212078258485,69.22,0
7720600060,840000,1440,1,1926,NR3,L2,118,17700,-1823.1278058161124,69.22,1
9828201455,770001,1670,2,1944,NR3,C3,127,19050,-1962.1799265986967,69.22,0
8636820130,650000,1410,1,2021,LR3(M),N1,157,23550,-2425.68699587398,69.22,0
9528101286,658000,1020,1,2007,LR2(M),J3,89,13350,-1375.0709721833389,69.22,1
7625702987,700000,1450,1,2001,LR1(M),W3,109,16350,-1684.0756850335274,69.22,0
9448300035,620000,1920,1,1971,NR2,R1,217,32550,-3352.7011344245457,69.22,0
8636820260,736990,1760,1,2021,LR3(M),N1,157,23550,-2425.68699587398,69.22,0
1972202202,782500,1110,1,2008,LR3(M1),B3,118,17700,-1823.1278058161124,69.22,1
6414100133,650000,1070,1,1951,NR2,L1,179,26850,-2765.592180009188,69.22,1
9547205195,680000,950,1,1909,NR3,U1,230,34500,-3553.554197777168,69.22,0
2895600660,799000,1190,1,1949,NR3,W3,109,16350,-1684.0756850335274,69.22,0
4058201285,536000,1350,1,1955,R6,99,1,150,-15.450235642509426,69.22,0
5476200193,507000,1090,1,1969,NR2,S3,189,28350,-2920.094536434281,69.22,0
2163900072,769995,930,1,2019,LR3(M),C1,152,22800,-2348.435817661433,69.22,1
7663700541,610000,1150,1,1939,NR2,L1,179,26850,-2765.592180009188,69.22,0
2768100057,842000,1450,1,2023,LR2(M1),B2,126,18900,-1946.729690956188,69.22,0
2921700292,849000,1480,1,2021,LR1(M1),J2,90,13500,-1390.5212078258485,69.22,1
2768100061,620000,1010,1,2023,LR2(M1),B2,126,18900,-1946.729690956188,69.22,0
2594200550,738000,530,1,1968,NR2,W3,109,16350,-1684.0756850335274,69.22,0
5680000630,800000,1060,1,1943,NR3,R1,217,32550,-3352.7011344245457,69.22,1
3362401705,616000,780,1,1924,LR2(M),J3,89,13350,-1375.0709721833389,69.22,1
2038500210,700000,1780,1,1921,NR3,U1,230,34500,-3553.554197777168,69.22,0
2976801026,820000,2120,1,1955,NR2,S3,189,28350,-2920.094536434281,69.22,0
5101402479,800000,1340,1,1911,NR3,U1,230,34500,-3553.554197777168,69.22,1
2768100062,628360,1130,1,2023,LR2(M1),B2,126,18900,-1946.729690956188,69.22,0
8636820310,744000,1740,1,2021,LR3(M),N1,157,23550,-2425.68699587398,69.22,0
3319500576,599900,960,1,2022,LR3(M),G2,229,34350,-3538.1039621346586,69.22,0
7588700092,759900,1240,1,2022,LR2(M1),J2,90,13500,-1390.5212078258485,69.22,1
2767704301,680000,1280,1,1998,LR3(M),B1,211,31650,-3259.999720569489,69.22,1
2734101124,699000,1710,1,2020,LR1(M),O3,51,7650,-787.9620177679808,69.22,1
8902000255,835000,1960,1,1941,NR2,L3,167,25050,-2580.189352299074,69.22,1
9834201461,587000,1200,1,2007,LR2(M),R2,298,44700,-4604.170221467809,69.22,0
7133300025,620000,740,1,1952,LR3(M),R1,217,32550,-3352.7011344245457,69.22,0
7133300026,620000,960,1,1904,LR3(M),R1,217,32550,-3352.7011344245457,69.22,1
1225039101,798000,1290,1,2023,LR2(M1),B2,126,18900,-1946.729690956188,69.22,0
5649600462,637500,1390,1,2007,LR2(M),R3,178,26700,-2750.1419443666778,69.22,0
2768100078,709950,1080,1,2021,LR2(M1),B2,126,18900,-1946.729690956188,69.22,0
4364700875,760000,980,1,1951,NR2,F2,153,22950,-2363.8860533039424,69.22,0
3592500115,720000,1130,1,1911,NR3,C2,100,15000,-1545.0235642509426,69.22,0
2768100091,815000,1250,1,2021,LR2(M1),B2,126,18900,-1946.729690956188,69.22,0
1523300050,635000,1020,1,2023,LR1(M1),G3,123,18450,-1900.3789840286595,69.22,1
9284801160,715000,1060,1,1981,NR3,W2,329,49350,-5083.127526385601,69.22,0
3034200760,782500,1580,1,1954,NR2,N2,246,36900,-3800.757968057319,69.22,0
2770600191,599000,910,1,2020,LR1(M),Q1,107,16050,-1653.175213748509,69.22,0
2768100082,780000,1160,1,2022,LR2(M1),B2,126,18900,-1946.729690956188,69.22,0
9284801590,745000,1060,1,1981,NR3,W2,329,49350,-5083.127526385601,69.22,0
4358700183,552500,1200,1,2002,LR3(M),N3,225,33750,-3476.303019564621,69.22,0
7818700305,328788,1880,1,2020,RSL(M),J1,141,21150,-2178.483225593829,69.22,1
7452500635,554999,1520,1,1951,NR3,F2,153,22950,-2363.8860533039424,69.22,0
1523300053,675000,1020,1,2023,LR1(M1),G3,123,18450,-1900.3789840286595,69.22,1
9215400165,725000,1920,1,1970,NR3,U3,190,28500,-2935.544772076791,69.22,0
1703900075,840000,1630,1,1955,NR3,R3,178,26700,-2750.1419443666778,69.22,0
6145602265,800000,1560,1,1929,C155(M),J1,141,21150,-2178.483225593829,69.22,0
5700000360,700000,1770,1,1925,NR3,R2,298,44700,-4604.170221467809,69.22,1
2254501173,763000,1240,1,2020,LR2(M),E2,260,39000,-4017.0612670524506,69.22,1
2264500970,798000,1110,1,2020,LR2(M),B3,118,17700,-1823.1278058161124,69.22,0
6450304465,785500,2000,1,1958,RSL(M),N2,246,36900,-3800.757968057319,69.22,0
2946200140,570000,1020,1,2022,LR2(M),S2,171,25650,-2641.990294869112,69.22,0
5100404014,75000,1500,1,1930,NR3,L2,118,17700,-1823.1278058161124,69.22,0
7625702249,719000,1100,1,2020,LR3RC(M),W2,329,49350,-5083.127526385601,69.22,0
1454100489,751000,1680,1,1949,NR1,L3,167,25050,-2580.189352299074,69.22,0
2520900360,810000,2730,1,1995,NR3,S3,189,28350,-2920.094536434281,69.22,0
7812800015,645000,1390,1,1944,R6,99,1,150,-15.450235642509426,69.22,0
6058600390,815000,2340,1,1907,LR1(M1),G3,123,18450,-1900.3789840286595,69.22,0
6126601182,525000,920,1,2019,LR3(M),W2,329,49350,-5083.127526385601,69.22,0
5249803860,665000,1010,1,1941,NR3,R3,178,26700,-2750.1419443666778,69.22,0
4449800005,610000,1330,1,2008,NC140(M),J2,90,13500,-1390.5212078258485,69.22,0
8822901220,610000,1220,1,2006,LR2(M),L3,167,25050,-2580.189352299074,69.22,1
2926049348,785000,2330,1,1954,NR2,L1,179,26850,-2765.592180009188,69.22,0
2767603638,670000,980,1,2022,LR2(M),B1,211,31650,-3259.999720569489,69.22,0
1604601822,847000,1730,1,2023,LR2(M),R2,298,44700,-4604.170221467809,69.22,0
3438502240,822100,2390,1,1982,NR3,F1,153,22950,-2363.8860533039424,69.22,0
9358001618,645000,1230,1,2019,LR1(M),W1,248,37200,-3831.6584393423377,69.22,1
2832100605,725813,2020,1,1942,NR2,N2,246,36900,-3800.757968057319,69.22,1
7818700135,799950,1380,1,1991,RSL(M),J1,141,21150,-2178.483225593829,69.22,1
4242900113,850000,1380,1,2022,LR1(M),B1,211,31650,-3259.999720569489,69.22,0
9221400638,819950,1200,1,2022,LR2(M),U1,230,34500,-3553.554197777168,69.22,1
2922700536,725000,1400,1,2006,LR2RC(M),J2,90,13500,-1390.5212078258485,69.22,1
7985400096,630000,1840,1,2005,LR2(M),F1,153,22950,-2363.8860533039424,69.22,0
9221400637,789950,1200,1,2022,LR2(M),U1,230,34500,-3553.554197777168,69.22,1
7549801905,625000,1260,1,2018,LR1(M),O3,51,7650,-787.9620177679808,69.22,1
7186800063,556000,1160,1,2018,LR3(M),S1,221,33150,-3414.502076994583,69.22,0
9358001616,612750,1230,1,2019,LR1(M),W1,248,37200,-3831.6584393423377,69.22,1
1453600200,740000,1280,1,1959,NR2,L3,167,25050,-2580.189352299074,69.22,1
7129303640,670000,1460,1,1922,NR3,S3,189,28350,-2920.094536434281,69.22,1
9281200347,788888,1360,1,2014,LR1(M),W1,248,37200,-3831.6584393423377,69.22,0
2464400305,805000,1180,1,1926,NR3,L2,118,17700,-1823.1278058161124,69.22,1
2741100445,225000,1270,1,1965,NR3,R1,217,32550,-3352.7011344245457,69.22,1
7960100215,625000,910,1,1903,NR3,C3,127,19050,-1962.1799265986967,69.22,0
4006000404,717000,2280,1,1922,NR3,S1,221,33150,-3414.502076994583,69.22,0
7883602265,490000,650,1,1929,RSL(M),F3,259,38850,-4001.6110314099415,69.22,1
3319500280,845000,1160,1,2018,NC155(M),G2,229,34350,-3538.1039621346586,69.22,0
2895600105,680500,1120,1,1940,NR3,W3,109,16350,-1684.0756850335274,69.22,0
3336000402,719000,1370,1,1949,LR2(M),S2,171,25650,-2641.990294869112,69.22,1
